loan_id,applicant_age,annual_income,credit_score,loan_amount,term_months,purpose,employment,approved,application_ts,debt_to_income,monthly_payment,income_per_age,log_income,log_loan_amount,age_group,credit_tier,employment_enc,purpose_business,purpose_home,purpose_personal,purpose_unknown,app_hour,app_month,app_weekday,is_weekend
L00001,23,53114.74891494886,353,37731.312327220505,24,business,self-employed,1,2023-01-01 00:00:00,0.7103735421518905,1572.1380136341877,2309.3369093456026,10.880228752991373,10.538272097251136,18-25,poor,1,True,False,False,False,0,1,6,1
L00002,48,19845.432172867375,641,49598.57810838379,36,personal,unemployed,1,2023-01-01 06:00:00,2.499244041467378,1377.7382807884385,413.44650360140366,9.895779530558126,10.811737606797484,35-50,fair,0,False,False,True,False,6,1,6,1
L00003,48,25659.09509218019,438,27039.276768264943,12,business,employed,0,2023-01-01 12:00:00,1.0537891796700725,2253.2730640220784,534.5644810870873,10.152692344015458,10.205082765617275,35-50,poor,2,True,False,False,False,12,1,6,1
L00004,45,97584.94224056596,654,33339.790221256415,60,personal,employed,1,2023-01-01 18:00:00,0.34164892098892996,555.6631703542736,2168.554272012577,11.4884887276068,10.414536857921213,35-50,fair,2,False,False,True,False,18,1,6,1
L00005,44,29251.54837451938,712,15821.533775758478,48,personal,employed,1,2023-01-02 00:00:00,0.5408785057525501,329.6152869949683,664.8079176027132,10.283721972780127,9.669190391313542,35-50,good,2,False,False,True,False,0,1,0,0
L00006,71,33064.28843090721,809,47429.244383633624,48,personal,self-employed,1,2023-01-02 06:00:00,1.434455318242948,988.1092579923671,465.6942032522142,10.406239323219278,10.767015371370132,65+,exceptional,1,False,False,True,False,6,1,0,0
L00007,23,91738.27056642628,596,18950.43893927028,12,auto,employed,1,2023-01-02 12:00:00,0.2065707018702577,1579.20324493919,3988.620459409838,11.426705817023262,9.8496351410985,18-25,fair,2,False,False,False,False,12,1,0,0
L00008,61,113101.34338480812,302,37187.0249216448,48,auto,employed,0,2023-01-02 18:00:00,0.32879383930146844,774.7296858676,1854.12038335751,11.636048381472307,10.523742077728391,50-65,poor,2,False,False,False,False,18,1,0,0
L00009,30,31568.667423493167,468,20753.870001835017,60,personal,self-employed,0,2023-01-03 00:00:00,0.657419894334537,345.89783336391696,1052.288914116439,10.35995204692237,9.940536197004985,25-35,poor,1,False,False,True,False,0,1,1,0
L00010,23,47635.02086423939,812,28529.127573086967,12,home,employed,0,2023-01-03 06:00:00,0.5989107815108439,2377.4272977572473,2071.087863662582,10.771344494880893,10.258715915739328,18-25,exceptional,2,False,True,False,False,6,1,1,0
